NPU1, AiCoreTemp, HBMTemp, NimBusTemp, ReadingCelsius, VRDChipTemp
2026/04/20 03:09:33, 39, 42, 40, 0, 40
2026/04/20 03:19:33, 39, 42, 41, 0, 41
2026/04/20 03:29:33, 40, 42, 41, 0, 41
2026/04/20 03:39:33, 40, 43, 41, 0, 41
2026/04/20 03:49:33, 40, 43, 41, 0, 41
2026/04/20 03:59:34, 40, 43, 41, 0, 41
2026/04/20 04:09:34, 40, 43, 41, 0, 41
2026/04/20 04:19:34, 39, 42, 41, 0, 41
2026/04/20 04:29:35, 38, 41, 40, 0, 40
2026/04/20 04:39:35, 37, 41, 39, 0, 39
2026/04/20 04:49:35, 38, 41, 39, 0, 39
2026/04/20 04:59:35, 39, 42, 40, 0, 40
2026/04/20 05:09:36, 39, 42, 40, 0, 40
2026/04/20 05:19:36, 39, 42, 40, 0, 41
2026/04/20 05:29:36, 39, 42, 41, 0, 41
2026/04/20 05:39:37, 39, 41, 40, 0, 40
2026/04/20 05:49:37, 38, 41, 40, 0, 40
2026/04/20 05:59:37, 39, 41, 40, 0, 40
2026/04/20 06:09:37, 39, 42, 40, 0, 40
2026/04/20 06:19:38, 39, 42, 40, 0, 40
2026/04/20 06:29:38, 39, 42, 40, 0, 40
2026/04/20 06:39:39, 39, 42, 40, 0, 40
2026/04/20 06:49:39, 39, 42, 40, 0, 40
2026/04/20 06:59:39, 37, 41, 39, 0, 39
2026/04/20 07:09:40, 37, 40, 39, 0, 39
2026/04/20 07:19:40, 37, 40, 39, 0, 39
2026/04/20 07:29:40, 37, 40, 39, 0, 38
2026/04/20 07:39:41, 37, 40, 38, 0, 38
2026/04/20 07:49:41, 37, 40, 39, 0, 39
2026/04/20 07:59:41, 37, 40, 39, 0, 38
2026/04/20 08:09:42, 37, 41, 39, 0, 39
2026/04/20 08:19:42, 37, 41, 39, 0, 39
2026/04/20 08:29:42, 37, 40, 39, 0, 39
2026/04/20 08:39:43, 37, 40, 39, 0, 39
2026/04/20 08:49:43, 37, 40, 39, 0, 38
2026/04/20 08:59:44, 37, 40, 38, 0, 38
2026/04/20 09:09:44, 36, 40, 38, 0, 38
2026/04/20 09:19:44, 36, 39, 37, 0, 38
2026/04/20 09:29:44, 36, 39, 37, 0, 37
2026/04/20 09:39:45, 36, 39, 37, 0, 38
2026/04/20 09:49:45, 37, 40, 38, 0, 39
2026/04/20 09:59:45, 37, 40, 39, 0, 39
2026/04/20 10:09:46, 36, 39, 38, 0, 38
2026/04/20 10:19:46, 36, 39, 37, 0, 38
2026/04/20 10:29:47, 36, 39, 37, 0, 38
2026/04/20 10:39:47, 36, 39, 37, 0, 38
2026/04/20 10:49:48, 36, 39, 37, 0, 38
2026/04/20 10:59:49, 36, 39, 37, 0, 38
2026/04/20 11:09:49, 36, 39, 37, 0, 38
2026/04/20 11:19:50, 36, 39, 37, 0, 38
2026/04/20 11:29:50, 36, 39, 37, 0, 37
2026/04/20 11:39:51, 36, 39, 37, 0, 38
2026/04/20 11:49:51, 36, 39, 37, 0, 38
2026/04/20 11:59:52, 36, 39, 37, 0, 37
2026/04/20 12:09:53, 36, 39, 37, 0, 38
2026/04/20 12:19:53, 36, 39, 37, 0, 38
2026/04/20 12:29:54, 36, 39, 37, 0, 38
2026/04/20 12:39:54, 36, 39, 37, 0, 38
2026/04/20 12:49:55, 36, 39, 37, 0, 38
2026/04/20 12:59:56, 36, 39, 37, 0, 38
2026/04/20 13:09:56, 36, 39, 37, 0, 38
2026/04/20 13:19:57, 36, 39, 37, 0, 38
