Timestamp,                              EstimatedRemainingLifespan,   WriteAmplificationFactor      
2026-03-29 08:59:10,                    --,                           --                            
2026-03-30 09:10:03,                    --,                           --                            
2026-04-01 03:57:58,                    --,                           --                            
2026-04-02 02:30:48,                    --,                           --                            
2026-04-03 02:41:20,                    --,                           --                            
2026-04-04 02:41:36,                    --,                           --                            
2026-04-05 02:41:55,                    --,                           --                            
2026-04-06 02:42:20,                    --,                           --                            
2026-04-07 03:03:23,                    --,                           --                            
2026-04-08 05:28:11,                    --,                           52824                         
2026-04-08 06:01:51,                    --,                           --                            
2026-04-08 07:13:38,                    --,                           --                            
2026-04-08 08:50:51,                    --,                           --                            
2026-04-08 10:17:07,                    --,                           --                            
2026-04-09 10:28:03,                    --,                           --                            
2026-04-10 10:48:05,                    --,                           --                            
2026-04-11 10:48:33,                    --,                           --                            
2026-04-12 10:48:53,                    --,                           --                            
2026-04-13 10:51:20,                    --,                           --                            
2026-04-14 10:51:38,                    --,                           --                            
2026-04-15 08:22:06,                    --,                           --                            
2026-04-15 08:49:44,                    --,                           --                            
2026-04-15 09:27:08,                    --,                           --                            
2026-04-16 06:30:03,                    --,                           --                            
2026-04-17 06:42:36,                    --,                           --                            
2026-04-17 07:09:07,                    --,                           --                            
2026-04-17 07:54:27,                    --,                           --                            
2026-04-18 08:15:40,                    --,                           --                            
2026-04-19 08:16:06,                    --,                           --                            
2026-04-20 03:07:36,                    --,                           --                            
